src,dst
75,10313
75,10849
76,167
76,498
76,761
76,1352
76,1538
76,1614
76,1686
76,1700
76,2605
76,2936
76,2986
76,4571
76,4795
76,5089
76,5810
76,7210
76,7526
76,7593
76,7656
76,7925
76,8767
76,8855
76,8885
76,9492
76,9645
76,9731
76,9861
76,10614
76,11186
76,13440
76,13496
76,13598
76,13993
76,14659
76,14754
76,15145
76,15150
76,15345
77,2619
77,5553
77,6098
77,10341
77,11067
77,14832
78,3627
78,5163
78,5319
78,7291
78,9546
78,9813
78,9902
78,10123
78,14208
79,848
79,1482
79,2154
79,4181
79,13112
80,191
80,529
80,540
80,864
80,930
80,1052
80,1514
80,2031
80,2073
80,2196
80,2289
80,2478
80,3190
80,3366
80,3536
80,4288
80,4408
80,4732
80,5001
80,5448
80,6680
80,6898
80,7480
80,8355
80,9264
80,9387
80,9890
80,9893
80,10123
80,10919
80,11502
80,12129
80,12196
80,12372
80,12492
80,13173
80,13221
80,13321
80,13383
80,13831
80,14204
80,14267
80,14395
80,14768
80,15066
80,15119
81,10772
82,132
82,136
82,229
82,297
82,311
82,366
82,394
82,404
82,479
82,519
82,629
82,683
82,969
82,1016
82,1037
82,1057
82,1084
82,1103
82,1112
82,1161
82,1261
82,1274
82,1431
82,1457
82,1493
82,1512
82,1642
82,1691
82,1695
82,1761
82,1909
82,1968
82,2007
82,2082
82,2226
82,2314
82,2447
82,2495
82,2742
82,2750
82,2836
82,2845
82,2906
82,2943
82,3067
82,3158
82,3183
82,3193
82,3209
82,3218
82,3242
82,3248
82,3295
82,3408
82,3409
82,3410
82,3477
82,3520
82,3686
82,3822
82,3855
82,4018
82,4095
82,4141
82,4183
82,4224
82,4259
82,4268
82,4297
82,4442
82,4448
82,4695
82,4725
82,4784
82,4794
82,4796
82,4860
82,4921
82,4938
82,4950
82,4951
82,5050
82,5074
82,5091
82,5195
82,5251
82,5263
82,5337
82,5353
82,5403
82,5531
82,5617
82,5624
82,5710
82,5712
82,5747
82,5757
82,5787
82,5828
82,5893
82,5904
82,5912
82,6085
82,6093
82,6115
82,6241
82,6268
82,6281
82,6333
82,6416
82,6478
82,6511
82,6551
82,6712
82,6746
82,6864
82,6868
82,6874
82,7036
82,7060
82,7160
82,7175
82,7226
82,7264
82,7305
82,7399
82,7536
82,7548
82,7562
82,7591
82,7680
82,7704
82,7717
82,7721
82,7786
82,8016
82,8043
82,8055
82,8081
82,8228
82,8316
82,8319
82,8356
82,8395
82,8446
82,8450
82,8533
82,8560
82,8579
82,8598
82,8713
82,8733
82,8756
82,8775
82,8833
82,8906
82,8954
82,9248
82,9321
82,9643
82,9665
82,9675
82,9722
82,9736
82,9804
82,9815
82,9908
82,9938
82,9943
82,10115
82,10165
82,10178
82,10299
82,10370
82,10421
82,10455
82,10522
82,10530
82,10569
82,10702
82,10869
82,11058
82,11076
82,11211
82,11236
82,11239
82,11279
82,11323
82,11352
82,11389
82,11407
82,11433
82,11494
82,11655
82,11666
82,11701
82,11811
82,11840
82,12016
82,12056
82,12122
82,12129
82,12191
82,12290
82,12292
82,12318
82,12336
82,12369
82,12413
82,12647
82,12652
82,12709
82,12725
82,12797
82,12804
82,12813
82,12814
82,12833
82,13191
82,13234
82,13341
82,13357
82,13409
82,13648
82,13737
82,13745
82,13838
82,13842
82,13925
82,14001
82,14005
82,14160
82,14184
82,14261
82,14311
82,14320
82,14323
82,14341
82,14357
82,14358
82,14365
82,14409
82,14431
82,14490
82,14510
82,14574
82,14621
82,14656
82,14736
82,14802
82,15113
82,15133
82,15160
82,15224
82,15233
82,15240
82,15351
83,3802
84,906
84,4342
84,5922
84,10869
85,2772
85,8517
85,9031
85,13020
86,2836
86,9191
86,12465
86,15118
87,335
87,5147
87,6497
87,7767
87,8804
87,11254
87,11638
87,14389
87,14796
88,15357
89,13598
90,2581
91,5147
91,13159
92,1655
92,1930
92,1979
92,2712
92,3451
92,4111
92,4375
92,4856
92,5024
92,5185
92,5463
92,5979
92,6393
92,7526
92,7838
92,8272
92,9124
92,9139
92,9170
92,9409
92,10067
92,10278
92,10492
92,10726
92,12196
92,12437
92,12875
92,13655
92,14558
92,15155
93,12073
94,400
94,965
94,1044
94,1274
94,1896
94,2714
94,3517
94,5041
94,5094
94,5227
94,5952
94,6891
94,7146
94,7675
94,8224
94,9772
94,12834
94,14406
94,14612
95,12684
96,203
96,404
96,1044
96,1120
96,1601
96,2350
96,2600
96,2677
96,3781
96,3870
96,4268
96,4586
96,5031
96,5756
96,5966
96,7338
96,7493
96,8211
96,8614
96,9553
96,9673
96,10394
96,10691
96,11075
96,11099
96,12439
96,12647
96,13966
97,2252
97,6029
97,7580
97,10731
97,10832
97,11385
97,15111
98,194
98,271
98,287
98,307
98,454
98,906
98,1116
98,1300
98,1334
98,1601
98,1983
98,1998
98,2304
98,2429
98,2439
98,2460
98,2804
98,2817
98,2862
98,2997
98,3118
98,3209
98,3398
98,3535
98,3655
98,3704
98,3870
98,3943
98,3984
98,4073
98,4102
98,4179
98,4268
98,4273
98,4824
98,4917
98,4939
98,4956
98,5251
98,5271
98,5365
98,5404
98,5531
98,5553
98,5702
98,5710
98,5757
98,5759
98,5924
98,6034
98,6150
98,6208
98,6820
98,7210
98,7656
98,7839
98,8015
98,8081
98,8280
98,8362
98,8448
98,8450
98,8553
98,8578
98,8733
98,8767
98,8777
98,8889
98,8906
98,8960
98,9073
98,9136
98,9438
98,9526
98,9598
98,9908
98,10051
98,10131
98,10307
98,10394
98,10465
98,10476
